,BORO,STORIES,FULLVAL,YEAR,LOT,BLDGCL,AVTOT2,Community_Board,Council_District,Lot_Area,Building_Area,Census_Tract,AVLAND2,EXLAND2,EXTOT2,EXCD2
21418,bor_4,str_1,val_3,yrs_3,lot_1,bcl_D4,transval_3,cmb_406,cds_29,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
19510,bor_3,str_1,val_2,yrs_3,lot_2,bcl_R2,transval_2,cmb_303,cds_36,lotarea_1,buildingarea_1,census_1,avland2_1,exland2_1,extot2_1,extot2_1
35002,bor_3,str_2,val_3,yrs_2,lot_1,bcl_D4,transval_3,cmb_302,cds_33,lotarea_1,buildingarea_1,census_1,avland2_3,exland2_2,extot2_2,extot2_2
4044,bor_2,str_1,val_3,yrs_3,lot_3,bcl_D4,transval_3,cmb_208,cds_11,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_2,extot2_2,extot2_2
20748,bor_3,str_1,val_2,yrs_3,lot_1,bcl_M1,transval_2,cmb_314,cds_45,lotarea_1,buildingarea_1,census_1,avland2_2,exland2_2,extot2_3,extot2_3
29262,bor_4,str_1,val_3,yrs_2,lot_1,bcl_D4,transval_3,cmb_406,cds_29,lotarea_3,buildingarea_3,census_1,avland2_3,exland2_3,extot2_3,extot2_3
1986,bor_1,str_1,val_2,yrs_3,lot_1,bcl_C6,transval_2,cmb_109,cds_7,lotarea_1,buildingarea_1,census_1,avland2_2,exland2_1,extot2_3,extot2_3
2039,bor_1,str_3,val_3,yrs_3,lot_1,bcl_D4,transval_3,cmb_107,cds_6,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
67962,bor_2,str_1,val_3,yrs_1,lot_1,bcl_D4,transval_3,cmb_211,cds_13,lotarea_2,buildingarea_2,census_1,avland2_2,exland2_1,extot2_1,extot2_1
48629,bor_1,str_2,val_3,yrs_1,lot_2,bcl_D4,transval_3,cmb_108,cds_4,lotarea_1,buildingarea_1,census_1,avland2_3,exland2_1,extot2_1,extot2_1
28290,bor_3,str_1,val_3,yrs_2,lot_1,bcl_D4,transval_3,cmb_315,cds_48,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
47367,bor_1,str_1,val_3,yrs_1,lot_1,bcl_D4,transval_3,cmb_104,cds_3,lotarea_2,buildingarea_1,census_1,avland2_3,exland2_3,extot2_3,extot2_3
29446,bor_4,str_2,val_3,yrs_2,lot_1,bcl_D4,transval_3,cmb_406,cds_29,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
70726,bor_4,str_1,val_3,yrs_1,lot_1,bcl_W2,transval_3,cmb_407,cds_20,lotarea_2,buildingarea_1,census_1,avland2_3,exland2_3,extot2_3,extot2_3
7156,bor_5,str_1,val_2,yrs_3,lot_2,bcl_C6,transval_2,cmb_501,cds_49,lotarea_2,buildingarea_1,census_1,avland2_2,exland2_1,extot2_1,extot2_1
62311,bor_4,str_1,val_3,yrs_1,lot_1,bcl_D4,transval_3,cmb_406,cds_29,lotarea_2,buildingarea_2,census_3,avland2_3,exland2_3,extot2_3,extot2_3
59964,bor_3,str_1,val_3,yrs_1,lot_1,bcl_P7,transval_3,cmb_302,cds_33,lotarea_1,buildingarea_1,census_1,avland2_3,exland2_3,extot2_3,extot2_3
16193,bor_1,str_1,val_3,yrs_3,lot_1,bcl_D4,transval_3,cmb_106,cds_4,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
43267,bor_2,str_3,val_3,yrs_2,lot_2,bcl_D4,transval_3,cmb_208,cds_11,lotarea_3,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
41407,bor_2,str_1,val_2,yrs_2,lot_1,bcl_D1,transval_2,cmb_205,cds_15,lotarea_2,buildingarea_2,census_1,avland2_2,exland2_1,extot2_3,extot2_3
57021,bor_1,str_3,val_3,yrs_1,lot_1,bcl_D4,transval_3,cmb_108,cds_4,lotarea_1,buildingarea_1,census_1,avland2_3,exland2_3,extot2_3,extot2_3
7663,bor_1,str_1,val_3,yrs_3,lot_1,bcl_C6,transval_3,cmb_104,cds_3,lotarea_1,buildingarea_1,census_1,avland2_3,exland2_1,extot2_1,extot2_1
43308,bor_3,str_2,val_3,yrs_2,lot_1,bcl_D4,transval_3,cmb_302,cds_33,lotarea_1,buildingarea_1,census_1,avland2_3,exland2_2,extot2_2,extot2_2
14699,bor_1,str_1,val_3,yrs_3,lot_1,bcl_D4,transval_3,cmb_101,cds_1,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_2,extot2_2,extot2_2
55711,bor_1,str_2,val_3,yrs_1,lot_1,bcl_D4,transval_3,cmb_106,cds_2,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
52733,bor_3,str_1,val_3,yrs_1,lot_1,bcl_D4,transval_3,cmb_317,cds_41,lotarea_3,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
70630,bor_4,str_2,val_3,yrs_1,lot_1,bcl_D4,transval_3,cmb_407,cds_19,lotarea_2,buildingarea_1,census_1,avland2_3,exland2_2,extot2_2,extot2_2
54509,bor_4,str_1,val_3,yrs_1,lot_1,bcl_D4,transval_3,cmb_408,cds_24,lotarea_3,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
24318,bor_1,str_3,val_3,yrs_2,lot_2,bcl_D4,transval_3,cmb_108,cds_4,lotarea_2,buildingarea_2,census_3,avland2_3,exland2_1,extot2_1,extot2_1
4861,bor_3,str_1,val_3,yrs_3,lot_1,bcl_M1,transval_3,cmb_312,cds_39,lotarea_1,buildingarea_1,census_1,avland2_3,exland2_3,extot2_3,extot2_3
43562,bor_2,str_2,val_3,yrs_2,lot_2,bcl_D4,transval_3,cmb_208,cds_11,lotarea_3,buildingarea_2,census_3,avland2_3,exland2_3,extot2_3,extot2_3
37984,bor_4,str_1,val_3,yrs_2,lot_1,bcl_D4,transval_3,cmb_411,cds_23,lotarea_2,buildingarea_1,census_3,avland2_3,exland2_2,extot2_2,extot2_2
49549,bor_1,str_1,val_3,yrs_1,lot_2,bcl_D4,transval_3,cmb_109,cds_7,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
68083,bor_3,str_3,val_3,yrs_1,lot_1,bcl_D4,transval_3,cmb_302,cds_33,lotarea_3,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
60602,bor_3,str_1,val_3,yrs_1,lot_1,bcl_D4,transval_3,cmb_309,cds_35,lotarea_2,buildingarea_2,census_1,avland2_2,exland2_2,extot2_3,extot2_3
63241,bor_4,str_1,val_2,yrs_1,lot_2,bcl_C5,transval_2,cmb_414,cds_32,lotarea_1,buildingarea_1,census_3,avland2_2,exland2_1,extot2_1,extot2_1
48349,bor_1,str_1,val_3,yrs_1,lot_1,bcl_D4,transval_3,cmb_106,cds_5,lotarea_1,buildingarea_1,census_3,avland2_3,exland2_1,extot2_1,extot2_1
56298,bor_1,str_2,val_3,yrs_1,lot_1,bcl_D4,transval_3,cmb_106,cds_4,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
40134,bor_1,str_3,val_3,yrs_2,lot_1,bcl_D4,transval_3,cmb_106,cds_4,lotarea_2,buildingarea_2,census_3,avland2_3,exland2_3,extot2_3,extot2_3
39114,bor_1,str_3,val_3,yrs_2,lot_1,bcl_D4,transval_3,cmb_106,cds_2,lotarea_1,buildingarea_1,census_1,avland2_3,exland2_3,extot2_3,extot2_3
38659,bor_1,str_1,val_3,yrs_2,lot_1,bcl_D4,transval_3,cmb_103,cds_2,lotarea_2,buildingarea_2,census_2,avland2_3,exland2_2,extot2_2,extot2_2
53104,bor_3,str_3,val_3,yrs_1,lot_1,bcl_D4,transval_3,cmb_313,cds_43,lotarea_3,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
7822,bor_1,str_3,val_3,yrs_3,lot_1,bcl_D4,transval_3,cmb_105,cds_2,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
19848,bor_3,str_1,val_2,yrs_3,lot_1,bcl_C6,transval_2,cmb_301,cds_34,lotarea_1,buildingarea_1,census_1,avland2_3,exland2_3,extot2_3,extot2_3
